,NH3,NH3_final,H,H_final,label,Time,TimeProcess,People,Positive,Negative
70,46,46,27,27%,0,12:50 PM,770,4,3,1
71,49,49,28,28%,0,12:55 PM,775,1,1,1
72,48,48,28,28%,0,1:00 PM,780,5,4,2
73,48,48,27,27%,0,1:05 PM,785,5,4,1
74,55,55,23,23%,0,1:10 PM,790,5,3,3
75,50,50,24,24%,0,1:15 PM,795,5,3,2
76,55,55,24,24%,0,1:20 PM,800,5,5,1
77,59,59,28,28%,0,1:25 PM,805,4,4,0
78,60,60,27,27%,0,1:30 PM,810,7,4,6
79,63,63,24,24%,0,1:35 PM,815,5,3,2
80,70,70,24,24%,0,1:40 PM,820,8,5,6
81,66,66,24,24%,0,1:45 PM,825,7,6,6
82,72,72,24,24%,0,1:50 PM,830,3,2,2
83,69,69,24,24%,2,1:55 PM,835,8,8,7
84,74,74,23,23%,0,2:00 PM,840,10,9,10
85,66,66,28,28%,0,2:05 PM,845,3,3,0
86,70,70,25,25%,0,2:10 PM,850,9,8,7
87,68,68,22,22%,0,2:15 PM,855,5,4,3
88,69,69,23,23%,0,2:20 PM,860,6,5,6
89,64,64,24,24%,0,2:25 PM,865,2,0,1
90,62,62,24,24%,0,2:30 PM,870,4,2,0
91,67,67,24,24%,0,2:35 PM,875,4,4,4
92,65,65,30,30%,0,2:40 PM,880,5,2,3
93,71,71,30,30%,0,2:45 PM,885,5,5,4
94,70,70,23,23%,0,2:50 PM,890,7,7,7
95,66,66,25,25%,2,2:55 PM,895,12,11,11
96,64,64,29,29%,0,3:00 PM,900,7,4,5
97,66,66,22,22%,0,3:05 PM,905,8,7,6
98,65,65,25,25%,0,3:10 PM,910,7,6,4
99,62,62,25,25%,0,3:15 PM,915,9,8,7
100,68,68,28,28%,0,3:20 PM,920,4,1,4
101,67,67,27,27%,0,3:25 PM,925,8,6,8
102,65,65,28,28%,0,3:30 PM,930,9,9,6
103,60,60,27,27%,0,3:35 PM,935,5,5,3
104,67,67,28,28%,0,3:40 PM,940,5,3,4
105,54,54,26,26%,0,3:45 PM,945,4,4,1
106,50,50,27,27%,0,3:50 PM,950,4,1,4
107,46,46,28,28%,2,3:55 PM,955,6,3,4
108,47,47,27,27%,0,4:00 PM,960,3,2,3
109,45,45,24,24%,0,4:05 PM,965,1,0,0
110,44,44,27,27%,0,4:10 PM,970,4,4,0
111,46,46,30,30%,0,4:15 PM,975,1,1,1
112,48,48,29,29%,0,4:20 PM,980,2,1,2
113,43,43,28,28%,0,4:25 PM,985,6,3,3
114,40,40,24,24%,0,4:30 PM,990,5,3,5
115,43,43,26,26%,0,4:35 PM,995,5,4,5
116,42,42,27,27%,0,4:40 PM,1000,2,0,0
117,42,42,28,28%,0,4:45 PM,1005,8,5,7
118,42,42,25,25%,0,4:50 PM,1010,12,10,9
119,43,43,28,28%,0,4:55 PM,1015,8,5,5
120,42,42,24,24%,0,5:00 PM,1020,3,2,1
121,41,41,27,27%,0,5:05 PM,1025,4,2,1
122,42,42,30,30%,0,5:10 PM,1030,3,3,3
123,44,44,25,25%,0,5:15 PM,1035,4,4,4
124,45,45,26,26%,0,5:20 PM,1040,3,0,2
125,45,45,25,25%,0,5:25 PM,1045,3,3,1
126,41,41,25,25%,0,5:30 PM,1050,5,2,2
127,42,42,23,23%,0,5:35 PM,1055,3,0,2
128,43,43,29,29%,0,5:40 PM,1060,5,4,4
129,43,43,28,28%,0,5:45 PM,1065,8,7,4
130,38,38,24,24%,0,5:50 PM,1070,5,3,5
131,41,41,24,24%,0,5:55 PM,1075,8,7,6
132,45,45,26,26%,0,7:00 AM,420,3,0,2
133,42,42,28,28%,0,7:05 AM,425,2,1,1
134,41,41,24,24%,0,7:10 AM,430,0,0,0
135,42,42,27,27%,0,7:15 AM,435,0,0,0
136,43,43,29,29%,0,7:20 AM,440,3,3,1
137,40,40,27,27%,0,7:25 AM,445,0,0,0
138,41,41,27,27%,0,7:30 AM,450,5,3,2
139,41,41,22,22%,0,7:35 AM,455,2,1,0
140,38,38,24,24%,0,7:40 AM,460,3,2,3
141,45,45,22,22%,0,7:45 AM,465,2,0,1
142,40,40,20,20%,0,7:50 AM,470,1,1,1
143,43,43,24,24%,0,7:55 AM,475,3,2,2
144,48,48,24,24%,0,8:00 AM,480,4,2,2
145,61,61,23,23%,0,8:05 AM,485,5,5,5
146,59,59,25,25%,0,8:10 AM,490,8,6,6
147,54,54,26,26%,0,8:15 AM,495,6,6,5
148,57,57,21,21%,0,8:20 AM,500,1,0,1
149,60,60,25,25%,0,8:25 AM,505,3,1,0
150,68,68,27,27%,0,8:30 AM,510,4,3,2
151,68,68,25,25%,0,8:35 AM,515,3,0,0
152,67,67,25,25%,0,8:40 AM,520,4,1,2
153,70,70,27,27%,0,8:45 AM,525,6,5,5
154,69,69,23,23%,0,8:50 AM,530,7,7,6
155,66,66,23,23%,2,8:55 AM,535,3,0,3
156,67,67,24,24%,0,9:00 AM,540,4,3,3
157,69,69,27,27%,0,9:05 AM,545,6,4,6
158,68,68,25,25%,0,9:10 AM,550,4,2,1
159,65,65,25,25%,0,9:15 AM,555,4,1,4
160,48,48,26,26%,0,9:20 AM,560,6,5,4
161,48,48,24,24%,0,9:25 AM,565,2,0,2
162,52,52,27,27%,0,9:30 AM,570,6,5,4
163,54,54,27,27%,0,9:35 AM,575,5,3,2
164,50,50,26,26%,0,9:40 AM,580,4,1,3
165,38,38,20,20%,0,9:45 AM,585,6,3,3
166,39,39,24,24%,0,9:50 AM,590,5,3,5
167,40,40,25,25%,2,9:55 AM,595,2,2,0
168,40,40,27,27%,0,10:00 AM,600,1,0,0
169,44,44,27,27%,0,10:05 AM,605,0,0,0
170,48,48,32,32%,0,10:10 AM,610,3,0,0
171,42,42,28,28%,0,10:15 AM,615,1,0,0
172,46,46,36,36%,0,10:20 AM,620,2,1,1
173,47,47,38,38%,0,10:25 AM,625,2,1,0
174,43,43,37,37%,0,10:30 AM,630,2,1,0
175,46,46,41,41%,0,10:35 AM,635,1,0,1
176,41,41,40,40%,0,10:40 AM,640,7,5,7
177,43,43,44,44%,0,10:45 AM,645,3,3,2
178,48,48,40,40%,0,10:50 AM,650,2,2,0
179,39,39,40,40%,0,10:55 AM,655,1,1,1
180,42,42,41,41%,0,11:00 AM,660,2,2,2
181,47,47,44,44%,0,11:05 AM,665,1,1,0
182,47,47,39,39%,0,11:10 AM,670,5,4,1
183,46,46,41,41%,0,11:15 AM,675,1,1,1
184,46,46,40,40%,0,11:20 AM,680,2,1,1
185,47,47,37,37%,0,11:25 AM,685,1,0,0
186,46,46,26,26%,0,11:30 AM,690,4,3,3
187,43,43,24,24%,0,11:35 AM,695,5,2,3
188,46,46,25,25%,0,11:40 AM,700,5,4,3
189,48,48,23,23%,0,11:45 AM,705,4,3,3
190,43,43,24,24%,0,11:50 AM,710,4,3,1
191,43,43,24,24%,0,11:55 AM,715,3,1,2
192,46,46,24,24%,0,12:00 PM,720,2,2,0
193,48,48,23,23%,0,12:05 PM,725,4,3,0
194,51,51,23,23%,0,12:10 PM,730,4,3,4
195,57,57,26,26%,0,12:15 PM,735,5,5,2
196,54,54,28,28%,0,12:20 PM,740,5,4,1
197,54,54,25,25%,0,12:25 PM,745,4,2,4
198,55,55,25,25%,0,12:30 PM,750,7,5,7
199,54,54,27,27%,0,12:35 PM,755,4,3,0
200,55,55,28,28%,0,12:40 PM,760,6,4,3
201,51,51,22,22%,0,12:45 PM,765,3,0,0
202,57,57,28,28%,0,12:50 PM,770,8,7,7
203,53,53,25,25%,1,12:55 PM,775,5,4,2
204,52,52,29,29%,0,1:00 PM,780,4,2,0
205,57,57,25,25%,0,1:05 PM,785,3,1,0
206,50,50,27,27%,0,1:10 PM,790,3,2,3
207,56,56,26,26%,0,1:15 PM,795,4,2,1
208,54,54,24,24%,0,1:20 PM,800,3,0,2
209,51,51,24,24%,0,1:25 PM,805,3,2,1
210,50,50,29,29%,0,1:30 PM,810,4,4,4
211,54,54,30,30%,0,1:35 PM,815,4,2,2
212,49,49,24,24%,0,1:40 PM,820,4,3,1
213,56,56,27,27%,0,1:45 PM,825,7,6,4
214,47,47,30,30%,0,1:50 PM,830,6,3,6
215,46,46,26,26%,1,1:55 PM,835,4,1,1
216,46,46,24,24%,0,2:00 PM,840,2,0,1
217,44,44,25,25%,0,2:05 PM,845,1,1,1
218,48,48,25,25%,0,2:10 PM,850,4,3,0
219,40,40,23,23%,0,2:15 PM,855,1,1,0
220,49,49,25,25%,0,2:20 PM,860,5,4,1
221,44,44,26,26%,0,2:25 PM,865,3,2,2
222,45,45,24,24%,0,2:30 PM,870,2,2,0
223,45,45,27,27%,0,2:35 PM,875,3,1,0
224,42,42,24,24%,0,2:40 PM,880,3,3,3
225,46,46,27,27%,0,2:45 PM,885,4,1,2
226,48,48,30,30%,0,2:50 PM,890,4,1,2
227,42,42,23,23%,0,2:55 PM,895,4,3,1
228,45,45,25,25%,0,3:00 PM,900,6,6,5
229,42,42,24,24%,0,3:05 PM,905,3,3,0
230,39,39,26,26%,0,3:10 PM,910,0,0,0
231,43,43,28,28%,0,3:15 PM,915,2,1,1
232,43,43,25,25%,0,3:20 PM,920,4,1,1
233,43,43,24,24%,0,3:25 PM,925,4,3,0
234,42,42,26,26%,0,3:30 PM,930,3,0,2
235,42,42,22,22%,0,3:35 PM,935,2,0,1
236,41,41,23,23%,0,3:40 PM,940,6,5,5
237,46,46,23,23%,0,3:45 PM,945,6,4,3
238,41,41,22,22%,0,3:50 PM,950,1,0,1
239,41,41,24,24%,0,3:55 PM,955,8,8,5
240,41,41,28,28%,0,4:00 PM,960,0,0,0
241,41,41,27,27%,0,4:05 PM,965,1,0,1
242,41,41,27,27%,0,4:10 PM,970,0,0,0
243,45,45,25,25%,0,4:15 PM,975,1,0,1
244,46,46,23,23%,0,4:20 PM,980,1,0,0
245,44,44,23,23%,0,4:25 PM,985,2,1,1
246,43,43,27,27%,0,4:30 PM,990,4,2,2
247,47,47,26,26%,0,4:35 PM,995,1,1,1
248,46,46,25,25%,0,4:40 PM,1000,4,4,4
249,40,40,22,22%,0,4:45 PM,1005,3,2,3
250,39,39,26,26%,0,4:50 PM,1010,2,1,0
251,47,47,23,23%,0,4:55 PM,1015,1,1,1
252,47,47,24,24%,0,5:00 PM,1020,4,1,1
253,43,43,27,27%,0,5:05 PM,1025,1,0,0
254,48,48,25,25%,0,5:10 PM,1030,4,2,2
255,42,42,27,27%,0,5:15 PM,1035,4,4,3
256,45,45,23,23%,0,5:20 PM,1040,4,4,0
257,43,43,22,22%,0,5:25 PM,1045,4,3,0
258,46,46,24,24%,0,5:30 PM,1050,4,4,0
259,51,51,22,22%,0,5:35 PM,1055,10,9,7
260,58,58,32,32%,0,5:40 PM,1060,9,9,9
261,51,51,29,29%,0,5:45 PM,1065,7,4,7
262,53,53,33,33%,0,5:50 PM,1070,5,2,1
263,57,57,29,29%,1,5:55 PM,1075,4,3,2
264,58,58,31,31%,0,7:00 AM,420,2,0,2
265,56,56,30,30%,0,7:05 AM,425,5,3,2
266,51,51,31,31%,0,7:10 AM,430,6,5,4
267,53,53,29,29%,0,7:15 AM,435,5,4,3
268,49,49,31,31%,0,7:20 AM,440,5,4,3
269,54,54,28,28%,0,7:25 AM,445,7,4,4
270,55,55,26,26%,0,7:30 AM,450,7,6,3
271,53,53,24,24%,0,7:35 AM,455,3,3,0
272,58,58,22,22%,0,7:40 AM,460,6,6,4
273,46,46,24,24%,0,7:45 AM,465,4,1,4
274,45,45,27,27%,0,7:50 AM,470,1,0,1
275,47,47,19,19%,1,7:55 AM,475,4,3,4
276,40,40,23,23%,0,8:00 AM,480,2,1,0
277,47,47,26,26%,0,8:05 AM,485,4,2,4
278,45,45,26,26%,0,8:10 AM,490,1,0,1
279,49,49,26,26%,0,8:15 AM,495,2,1,1
280,48,48,24,24%,0,8:20 AM,500,1,1,0
281,48,48,23,23%,0,8:25 AM,505,3,3,1
282,40,40,23,23%,0,8:30 AM,510,2,0,2
283,41,41,23,23%,0,8:35 AM,515,1,0,1
284,44,44,25,25%,0,8:40 AM,520,5,5,5
285,40,40,28,28%,0,8:45 AM,525,7,4,6
286,44,44,24,24%,0,8:50 AM,530,5,5,2
287,50,50,28,28%,0,8:55 AM,535,4,1,4
288,44,44,32,32%,0,9:00 AM,540,7,4,6
289,47,47,27,27%,0,9:05 AM,545,10,8,9
290,49,49,27,27%,0,9:10 AM,550,5,2,3
291,48,48,29,29%,0,9:15 AM,555,2,2,0
292,40,40,30,30%,0,9:20 AM,560,4,2,3
293,44,44,33,33%,0,9:25 AM,565,1,0,1
294,47,47,30,30%,0,9:30 AM,570,4,4,4
295,46,46,30,30%,0,9:35 AM,575,1,0,1
296,48,48,35,35%,0,9:40 AM,580,5,2,4
297,43,43,37,37%,0,9:45 AM,585,6,3,3
298,49,49,33,33%,0,9:50 AM,590,4,4,0
299,47,47,33,33%,0,9:55 AM,595,3,2,0
300,50,50,33,33%,0,10:00 AM,600,3,1,2
301,57,57,34,34%,0,10:05 AM,605,10,10,10
302,53,53,35,35%,0,10:10 AM,610,7,4,3
303,53,53,33,33%,0,10:15 AM,615,5,2,3
304,51,51,37,37%,0,10:20 AM,620,5,3,4
305,54,54,39,39%,0,10:25 AM,625,4,1,4
306,50,50,36,36%,0,10:30 AM,630,0,0,0
307,52,52,30,30%,0,10:35 AM,635,5,3,5
308,60,60,26,26%,0,10:40 AM,640,9,9,8
309,50,50,23,23%,0,10:45 AM,645,5,4,3
310,52,52,26,26%,0,10:50 AM,650,8,8,4
311,56,56,20,20%,1,10:55 AM,655,5,4,4
312,54,54,26,26%,0,11:00 AM,660,8,5,7
313,51,51,24,24%,0,11:05 AM,665,3,0,1
314,55,55,24,24%,0,11:10 AM,670,6,5,5
315,52,52,25,25%,0,11:15 AM,675,5,3,4
316,52,52,28,28%,0,11:20 AM,680,5,5,3
317,56,56,26,26%,0,11:25 AM,685,7,6,5
318,50,50,26,26%,0,11:30 AM,690,4,3,0
319,54,54,30,30%,0,11:35 AM,695,6,4,4
320,46,46,26,26%,0,11:40 AM,700,7,6,7
321,46,46,23,23%,0,11:45 AM,705,5,2,5
322,47,47,23,23%,0,11:50 AM,710,3,3,1
323,42,42,28,28%,1,11:55 AM,715,6,4,3
324,42,42,32,32%,0,12:00 PM,720,3,0,0
325,39,39,27,27%,0,12:05 PM,725,4,2,4
326,48,48,25,25%,0,12:10 PM,730,4,4,3
327,47,47,24,24%,0,12:15 PM,735,2,1,0
328,46,46,28,28%,0,12:20 PM,740,1,1,1
329,46,46,22,22%,0,12:25 PM,745,4,4,4
330,46,46,31,31%,0,12:30 PM,750,6,6,5
331,43,43,29,29%,0,12:35 PM,755,1,1,0
332,46,46,24,24%,0,12:40 PM,760,3,2,1
333,43,43,23,23%,0,12:45 PM,765,3,1,1
334,41,41,30,30%,0,12:50 PM,770,6,5,5
335,48,48,27,27%,0,12:55 PM,775,3,1,2
336,41,41,26,26%,0,1:00 PM,780,2,2,2
337,41,41,28,28%,0,1:05 PM,785,0,0,0
338,44,44,24,24%,0,1:10 PM,790,3,1,3
339,45,45,23,23%,0,1:15 PM,795,2,1,0
340,42,42,27,27%,0,1:20 PM,800,2,2,2
341,46,46,26,26%,0,1:25 PM,805,1,1,0
342,45,45,25,25%,0,1:30 PM,810,3,0,3
343,42,42,25,25%,0,1:35 PM,815,2,2,0
344,39,39,24,24%,0,1:40 PM,820,1,0,1
345,43,43,24,24%,0,1:45 PM,825,1,1,0
346,46,46,26,26%,0,1:50 PM,830,2,0,1
347,41,41,22,22%,0,1:55 PM,835,2,0,2
348,43,43,27,27%,0,2:00 PM,840,1,1,1
349,39,39,27,27%,0,2:05 PM,845,1,0,1
350,41,41,27,27%,0,2:10 PM,850,3,3,2
351,40,40,23,23%,0,2:15 PM,855,5,2,5
352,41,41,26,26%,0,2:20 PM,860,1,0,1
353,43,43,24,24%,0,2:25 PM,865,2,0,1
354,40,40,24,24%,0,2:30 PM,870,6,5,4
355,46,46,22,22%,0,2:35 PM,875,8,7,5
356,40,40,27,27%,0,2:40 PM,880,1,1,1
357,42,42,28,28%,0,2:45 PM,885,4,2,3
358,41,41,25,25%,0,2:50 PM,890,1,0,0
359,39,39,28,28%,0,2:55 PM,895,5,5,1
360,41,41,28,28%,0,3:00 PM,900,10,7,8
361,46,46,23,23%,0,3:05 PM,905,1,1,1
362,39,39,28,28%,0,3:10 PM,910,2,2,1
363,42,42,27,27%,0,3:15 PM,915,6,4,3
364,45,45,20,20%,0,3:20 PM,920,2,2,2
365,42,42,24,24%,0,3:25 PM,925,3,2,1
366,41,41,23,23%,0,3:30 PM,930,1,1,0
367,46,46,23,23%,0,3:35 PM,935,3,0,1
368,44,44,27,27%,0,3:40 PM,940,8,5,6
369,41,41,25,25%,0,3:45 PM,945,5,4,1
370,44,44,22,22%,0,3:50 PM,950,3,0,0
371,43,43,28,28%,0,3:55 PM,955,6,4,3
372,46,46,28,28%,0,4:00 PM,960,1,1,0
373,41,41,26,26%,0,4:05 PM,965,4,1,2
374,46,46,28,28%,0,4:10 PM,970,2,2,2
375,46,46,26,26%,0,4:15 PM,975,2,2,0
376,39,39,29,29%,0,4:20 PM,980,3,0,1
377,43,43,22,22%,0,4:25 PM,985,2,0,2
378,45,45,25,25%,0,4:30 PM,990,3,0,1
379,44,44,27,27%,0,4:35 PM,995,1,0,1
380,48,48,28,28%,0,4:40 PM,1000,1,1,1
381,43,43,25,25%,0,4:45 PM,1005,4,4,2
382,43,43,25,25%,0,4:50 PM,1010,3,0,2
383,45,45,27,27%,0,4:55 PM,1015,4,1,3
384,46,46,29,29%,0,5:00 PM,1020,2,0,0
385,42,42,26,26%,0,5:05 PM,1025,3,3,2
386,41,41,26,26%,0,5:10 PM,1030,3,1,3
387,43,43,27,27%,0,5:15 PM,1035,3,2,3
388,43,43,30,30%,0,5:20 PM,1040,3,0,0
389,46,46,26,26%,0,5:25 PM,1045,4,4,2
390,47,47,29,29%,0,5:30 PM,1050,4,2,4
391,43,43,27,27%,0,5:35 PM,1055,3,2,3
392,41,41,27,27%,0,5:40 PM,1060,8,7,7
393,45,45,29,29%,0,5:45 PM,1065,5,5,4
394,43,43,27,27%,0,5:50 PM,1070,5,4,5
395,47,47,22,22%,0,5:55 PM,1075,5,5,2
396,48,48,22,22%,0,7:00 AM,420,4,4,3
397,45,45,22,22%,0,7:05 AM,425,1,0,0
398,43,43,25,25%,0,7:10 AM,430,1,1,0
399,44,44,24,24%,0,7:15 AM,435,0,0,0
400,39,39,20,20%,0,7:20 AM,440,2,0,0
401,40,40,25,25%,0,7:25 AM,445,5,5,3
402,46,46,24,24%,0,7:30 AM,450,1,1,1
403,46,46,24,24%,0,7:35 AM,455,3,0,3
404,47,47,27,27%,0,7:40 AM,460,1,0,1
405,50,50,23,23%,0,7:45 AM,465,2,2,1
406,47,47,25,25%,0,7:50 AM,470,4,3,3
407,58,58,26,26%,0,7:55 AM,475,4,3,2
408,59,59,23,23%,0,8:00 AM,480,6,6,6
409,54,54,29,29%,0,8:05 AM,485,7,7,5
410,60,60,27,27%,0,8:10 AM,490,5,5,2
411,60,60,24,24%,0,8:15 AM,495,6,3,3
412,58,58,25,25%,0,8:20 AM,500,10,10,8
413,60,60,33,33%,0,8:25 AM,505,5,2,3
414,56,56,28,28%,0,8:30 AM,510,5,5,5
415,58,58,28,28%,0,8:35 AM,515,7,5,4
416,56,56,27,27%,0,8:40 AM,520,6,6,4
417,58,58,31,31%,0,8:45 AM,525,8,8,4
418,52,52,28,28%,0,8:50 AM,530,9,8,9
419,57,57,25,25%,1,8:55 AM,535,13,10,12
420,51,51,28,28%,0,9:00 AM,540,6,5,5
421,52,52,32,32%,0,9:05 AM,545,5,4,3
422,45,45,36,36%,0,9:10 AM,550,6,6,6
423,40,40,33,33%,0,9:15 AM,555,6,6,5
424,49,49,35,35%,0,9:20 AM,560,2,0,2
425,49,49,37,37%,0,9:25 AM,565,3,1,2
426,45,45,34,34%,0,9:30 AM,570,3,1,0
427,41,41,32,32%,0,9:35 AM,575,5,5,2
428,43,43,32,32%,0,9:40 AM,580,2,1,2
429,43,43,35,35%,0,9:45 AM,585,3,2,3
430,44,44,37,37%,0,9:50 AM,590,9,8,6
431,43,43,37,37%,0,9:55 AM,595,5,5,3
432,45,45,28,28%,0,10:00 AM,600,9,6,5
433,42,42,28,28%,0,10:05 AM,605,1,1,1
434,41,41,22,22%,0,10:10 AM,610,3,1,0
435,41,41,23,23%,0,10:15 AM,615,5,5,3
436,45,45,24,24%,0,10:20 AM,620,2,2,0
437,40,40,26,26%,0,10:25 AM,625,5,3,3
438,42,42,24,24%,0,10:30 AM,630,5,5,2
439,44,44,20,20%,0,10:35 AM,635,5,2,2
440,42,42,25,25%,0,10:40 AM,640,4,3,1
441,45,45,20,20%,0,10:45 AM,645,5,2,2
442,46,46,24,24%,0,10:50 AM,650,1,0,1
443,44,44,26,26%,0,10:55 AM,655,6,3,4
444,42,42,24,24%,0,11:00 AM,660,2,1,1
445,40,40,25,25%,0,11:05 AM,665,5,4,2
446,44,44,27,27%,0,11:10 AM,670,4,1,3
447,42,42,26,26%,0,11:15 AM,675,1,1,1
448,41,41,22,22%,0,11:20 AM,680,3,1,0
449,41,41,26,26%,0,11:25 AM,685,3,1,0
450,40,40,26,26%,0,11:30 AM,690,3,2,3
451,46,46,29,29%,0,11:35 AM,695,3,3,2
452,46,46,24,24%,0,11:40 AM,700,3,0,1
453,49,49,22,22%,0,11:45 AM,705,1,1,1
454,51,51,25,25%,0,11:50 AM,710,7,5,7
455,62,62,25,25%,0,11:55 AM,715,6,5,4
456,60,60,24,24%,0,12:00 PM,720,9,7,8
457,55,55,26,26%,0,12:05 PM,725,6,3,4
458,53,53,29,29%,0,12:10 PM,730,5,5,2
459,63,63,31,31%,0,12:15 PM,735,9,7,9
460,68,68,29,29%,0,12:20 PM,740,6,4,5
461,63,63,26,26%,0,12:25 PM,745,4,4,3
462,62,62,27,27%,0,12:30 PM,750,6,5,5
463,68,68,28,28%,0,12:35 PM,755,8,6,8
464,64,64,24,24%,0,12:40 PM,760,6,3,4
465,65,65,27,27%,0,12:45 PM,765,8,7,5
466,65,65,23,23%,0,12:50 PM,770,9,7,9
467,71,71,26,26%,2,12:55 PM,775,8,8,4
468,66,66,25,25%,0,1:00 PM,780,5,4,2
469,60,60,27,27%,0,1:05 PM,785,8,8,6
470,49,49,25,25%,0,1:10 PM,790,5,2,2
471,47,47,23,23%,0,1:15 PM,795,4,2,4
472,49,49,25,25%,0,1:20 PM,800,4,2,4
473,50,50,21,21%,0,1:25 PM,805,4,4,0
474,51,51,24,24%,0,1:30 PM,810,6,4,6
475,39,39,27,27%,0,1:35 PM,815,3,2,0
476,42,42,27,27%,0,1:40 PM,820,2,1,1
477,41,41,27,27%,0,1:45 PM,825,7,4,5
478,45,45,21,21%,0,1:50 PM,830,3,3,0
479,42,42,25,25%,0,1:55 PM,835,4,1,2
480,44,44,30,30%,0,2:00 PM,840,7,4,5
481,44,44,23,23%,0,2:05 PM,845,0,0,0
482,43,43,22,22%,0,2:10 PM,850,4,3,2
483,40,40,28,28%,0,2:15 PM,855,1,1,1
484,43,43,27,27%,0,2:20 PM,860,2,1,0
485,45,45,29,29%,0,2:25 PM,865,2,1,1
486,43,43,23,23%,0,2:30 PM,870,3,1,1
487,44,44,26,26%,0,2:35 PM,875,2,1,2
488,45,45,26,26%,0,2:40 PM,880,3,3,1
489,44,44,25,25%,0,2:45 PM,885,2,2,2
490,44,44,30,30%,0,2:50 PM,890,3,3,3
491,43,43,32,32%,0,2:55 PM,895,3,0,0
492,51,51,31,31%,0,3:00 PM,900,9,8,5
493,45,45,29,29%,0,3:05 PM,905,2,0,1
494,50,50,34,34%,0,3:10 PM,910,1,0,1
